Neighbourhood,ID,Population
Agincourt North,129,"29,113"
Agincourt South-Malvern West,128,"23,757"
Alderwood,20,"12,054"
Annex,95,"30,526"
Banbury-Don Mills,42,"27,695"
Bathurst Manor,34,"15,873"
Bay Street Corridor,76,"25,797"
Bayview Village,52,"21,396"
Bayview Woods-Steeles,49,"13,154"
Bedford Park-Nortown,39,"23,236"
Beechborough-Greenbrook,112,"6,577"
Bendale,127,"29,960"
Birchcliffe-Cliffside,122,"22,291"
Black Creek,24,"21,737"
Blake-Jones,69,"7,727"
Briar Hill-Belgravia,108,"14,257"
Bridle Path-Sunnybrook-York Mills,41,"9,266"
Broadview North,57,"11,499"
Brookhaven-Amesbury,30,"17,757"
Cabbagetown-South St. James Town,71,"11,669"
Caledonia-Fairbank,109,"9,955"
Casa Loma,96,"10,968"
Centennial Scarborough,133,"13,362"
Church-Yonge Corridor,75,"31,340"
Clairlea-Birchmount,120,"26,984"
Clanton Park,33,"16,472"
Cliffcrest,123,"15,935"
Corso Italia-Davenport,92,"14,133"
Danforth,66,"9,666"
Danforth East York,59,"17,180"
Don Valley Village,47,"27,051"
Dorset Park,126,"25,003"
Dovercourt-Wallace Emerson-Junction,93,"36,625"
Downsview-Roding-CFB,26,"35,052"
Dufferin Grove,83,"11,785"
East End-Danforth,62,"21,381"
Edenbridge-Humber Valley,9,"15,535"
Eglinton East,138,"22,776"
Elms-Old Rexdale,5,"9,456"
Englemount-Lawrence,32,"22,372"
Eringate-Centennial-West Deane,11,"18,588"
Etobicoke West Mall,13,"11,848"
Flemingdon Park,44,"21,933"
Forest Hill North,102,"12,806"
Forest Hill South,101,"10,732"
Glenfield-Jane Heights,25,"30,491"
Greenwood-Coxwell,65,"14,417"
Guildwood,140,"9,917"
Henry Farm,53,"15,723"
High Park North,88,"22,162"
High Park-Swansea,87,"23,925"
Highland Creek,134,"12,494"
Hillcrest Village,48,"16,934"
Humber Heights-Westmount,8,"10,948"
Humber Summit,21,"12,416"
Humbermede,22,"15,545"
Humewood-Cedarvale,106,"14,365"
Ionview,125,"13,641"
Islington-City Centre West,14,"43,965"
Junction Area,90,"14,366"
Keelesdale-Eglinton West,110,"11,058"
Kennedy Park,124,"17,123"
Kensington-Chinatown,78,"17,945"
Kingsview Village-The Westway,6,"22,000"
Kingsway South,15,"9,271"
Lambton Baby Point,114,"7,985"
L'Amoreaux,117,"43,993"
Lansing-Westgate,38,"16,164"
Lawrence Park North,105,"14,607"
Lawrence Park South,103,"15,179"
Leaside-Bennington,56,"16,828"
Little Portugal,84,"15,559"
Long Branch,19,"10,084"
Malvern,132,"43,794"
Maple Leaf,29,"10,111"
Markland Wood,12,"10,554"
Milliken,130,"26,572"
Mimico (includes Humber Bay Shores),17,"33,964"
Morningside,135,"17,455"
Moss Park,73,"20,506"
Mount Dennis,115,"13,593"
Mount Olive-Silverstone-Jamestown,2,"32,954"
Mount Pleasant East,99,"16,775"
Mount Pleasant West,104,"29,658"
New Toronto,18,"11,463"
Newtonbrook East,50,"16,097"
Newtonbrook West,36,"23,831"
Niagara,82,"31,180"
North Riverdale,68,"11,916"
North St. James Town,74,"18,615"
Oakridge,121,"13,845"
Oakwood Village,107,"21,210"
O'Connor-Parkview,54,"18,675"
Old East York,58,"9,233"
Palmerston-Little Italy,80,"13,826"
Parkwoods-Donalda,45,"34,805"
Pelmo Park-Humberlea,23,"10,722"
Playter Estates-Danforth,67,"7,804"
Pleasant View,46,"15,818"
Princess-Rosethorn,10,"11,051"
Regent Park,72,"10,803"
Rexdale-Kipling,4,"10,529"
Rockcliffe-Smythe,111,"22,246"
Roncesvalles,86,"14,974"
Rosedale-Moore Park,98,"20,923"
Rouge,131,"46,496"
Runnymede-Bloor West Village,89,"10,070"
Rustic,28,"9,941"
Scarborough Village,139,"16,724"
South Parkdale,85,"21,849"
South Riverdale,70,"27,876"
St.Andrew-Windfields,40,"17,812"
Steeles,116,"24,623"
Stonegate-Queensway,16,"25,051"
Tam O'Shanter-Sullivan,118,"27,446"
Taylor-Massey,61,"15,683"
The Beaches,63,"21,567"
Thistletown-Beaumond Heights,3,"10,360"
Thorncliffe Park,55,"21,108"
Trinity-Bellwoods,81,"16,556"
University,79,"7,607"
Victoria Village,43,"17,510"
Waterfront Communities-The Island,77,"65,913"
West Hill,136,"27,392"
West Humber-Clairville,1,"33,312"
Westminster-Branson,35,"26,274"
Weston,113,"17,992"
Weston-Pelham Park,91,"11,098"
Wexford/Maryvale,119,"27,917"
Willowdale East,51,"50,434"
Willowdale West,37,"16,936"
Willowridge-Martingrove-Richview,7,"22,156"
Woburn,137,"53,485"
Woodbine Corridor,64,"12,541"
Woodbine-Lumsden,60,"7,865"
Wychwood,94,"14,349"
Yonge-Eglinton,100,"11,817"
Yonge-St.Clair,97,"12,528"
York University Heights,27,"27,593"
Yorkdale-Glen Park,31,"14,804"
